tissue	module	module_color	n_genes	cor_flight	p_flight	padj_flight	cor_light	p_light	padj_light	cor_dysbiosis_16S	p_dysbiosis_16S	padj_dysbiosis_16S	cor_dysbiosis_ITS	p_dysbiosis_ITS	padj_dysbiosis_ITS
Leaf	MEgreenyellow	greenyellow	46	0.455984184920203	0.0377536681001859	0.0691274207283718	0.270423614435248	0.235778673939017	0.43787468017246	0.318838548474728	0.158918852284903	0.413189015940749	0.540112208990347	0.0114878842548097	0.0746712476562634
Leaf	MEtan	tan	41	0.545220263699662	0.0105837872733647	0.0275178469107482	0.692047813797879	0.00050921860674615	0.0065029269746159	0.52578787371631	0.0143632439178808	0.0933610854662253	0.72985348074015	0.00017306796886911	0.00224988359529842
Leaf	MEgreen	green	209	0.263648046483972	0.248179826633917	0.279068860069771	-0.122080589857726	0.598078425382395	0.660771137224574	0.323600275360715	0.152442025614395	0.413189015940749	0.484520779083805	0.0260189977447995	0.0996261414685332
Leaf	MEyellow	yellow	238	0.348102448159041	0.122019347218374	0.176250168204318	-0.665189427983352	0.00100045030378706	0.0065029269746159	-0.0446051659010654	0.847753933709418	0.847753933709418	-0.254394215055557	0.265781706695315	0.568960759404097
Leaf	MEblack	black	187	0.124293305533917	0.591409106437094	0.591409106437094	-0.0923733380158363	0.690452794910777	0.690452794910777	0.0796107415091329	0.731577288357633	0.847753933709418	-0.13894254303105	0.548071853553594	0.613100212781808
Leaf	MEred	red	202	0.446336482955024	0.0425399512174596	0.0691274207283718	-0.472328048385578	0.0306152091745231	0.0795995438537601	0.13567496116079	0.557612246417297	0.805439911491651	-0.126851321861357	0.58373842556794	0.613100212781808
Leaf	MEturquoise	turquoise	2037	0.729759239393446	0.000173571543526811	0.00112821503292427	-0.243026388123349	0.288457874854612	0.468744046638745	0.409821567892278	0.0650310590239748	0.281801255770558	0.153841867415104	0.505536173703927	0.613100212781808
Leaf	MEmagenta	magenta	150	-0.258644329291809	0.257602024679788	0.279068860069771	0.1181695493525	0.609942588207299	0.660771137224574	-0.2135129812687	0.352730908109996	0.58785806316681	-0.472231002473982	0.0306541973749333	0.0996261414685332
Leaf	MEblue	blue	1012	-0.785095030852294	2.49429150293746e-05	0.00032425789538187	0.358533411524642	0.110491620797477	0.239398511727866	-0.262438645434985	0.25043659603377	0.542612624739836	-0.117133906212433	0.613100212781808	0.613100212781808
Leaf	MEpurple	purple	109	-0.568249564003883	0.00719764811726201	0.0233923563811015	0.54488955244083	0.0106405063293579	0.0345816455704131	0.0600910897412042	0.795833121568947	0.847753933709418	-0.23443609526017	0.306363485832975	0.568960759404097
Leaf	MEbrown	brown	347	-0.663636209056108	0.00103820028315734	0.00449886789368181	-0.207156094254889	0.367583712168281	0.530954250909739	-0.565331427898004	0.00756940572247172	0.0933610854662253	-0.368454785850634	0.100279989329994	0.260727972257984
Leaf	MEpink	pink	152	-0.457740717647514	0.0369294235284091	0.0691274207283718	-0.56521435235709	0.00758464375842997	0.0328667896198632	-0.209631143150146	0.361758808102652	0.58785806316681	0.121340774362615	0.600315267136021	0.613100212781808
Leaf	MEgrey	grey	270	0.306563265772463	0.17649068090921	0.229437885181973	0.118645245345669	0.608494442507759	0.660771137224574	0.0744199237215827	0.748515690913786	0.847753933709418	-0.182770183016337	0.427786133363109	0.613100212781808
