"sample_id","study","organism","cultivar","flight","plant","tissue","light","treatment","paired_end","has_ercc"
"VEG-05-Flt-SN05-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN05","Leaf","Red","Flight_Red","True","False"
"VEG-05-Gnd-SN07-Adv-Root-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN07","Adv-Root","Blue","Ground_Blue","True","False"
"VEG-05-Flt-SN01-Adv-Root-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN01","Adv-Root","Red","Flight_Red","True","False"
"VEG-05-Flt-SN010-Adv-Root-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN010","Adv-Root","Blue","Flight_Blue","True","False"
"VEG-05-Flt-SN010-Leaf-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN010","Leaf","Blue","Flight_Blue","True","False"
"VEG-05-Flt-SN01-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN01","Leaf","Red","Flight_Red","True","False"
"VEG-05-Flt-SN012-Leaf-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN012","Leaf","Blue","Flight_Blue","True","False"
"VEG-05-Flt-SN03-Adv-Root-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN03","Adv-Root","Red","Flight_Red","True","False"
"VEG-05-Flt-SN04-Adv-Root-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN04","Adv-Root","Red","Flight_Red","True","False"
"VEG-05-Flt-SN012-Adv-Root-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN012","Adv-Root","Blue","Flight_Blue","True","False"
"VEG-05-Flt-SN03-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN03","Leaf","Red","Flight_Red","True","False"
"VEG-05-Flt-SN04-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN04","Leaf","Red","Flight_Red","True","False"
"VEG-05-Flt-SN06-Adv-Root-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN06","Adv-Root","Red","Flight_Red","True","False"
"VEG-05-Flt-SN05-Adv-Root-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN05","Adv-Root","Red","Flight_Red","True","False"
"VEG-05-Flt-SN06-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN06","Leaf","Red","Flight_Red","True","False"
"VEG-05-Flt-SN07-Adv-Root-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN07","Adv-Root","Blue","Flight_Blue","True","False"
"VEG-05-Flt-SN07-Leaf-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN07","Leaf","Blue","Flight_Blue","True","False"
"VEG-05-Gnd-SN01-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN01","Leaf","Red","Ground_Red","True","False"
"VEG-05-Flt-SN08-Leaf-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN08","Leaf","Blue","Flight_Blue","True","False"
"VEG-05-Flt-SN08-Adv-Root-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Flight","SN08","Adv-Root","Blue","Flight_Blue","True","False"
"VEG-05-Gnd-SN02-Adv-Root-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN02","Adv-Root","Red","Ground_Red","True","False"
"VEG-05-Gnd-SN02-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN02","Leaf","Red","Ground_Red","True","False"
"VEG-05-Gnd-SN04-Adv-Root-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN04","Adv-Root","Red","Ground_Red","True","False"
"VEG-05-Gnd-SN03-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN03","Leaf","Red","Ground_Red","True","False"
"VEG-05-Gnd-SN05-Adv-Root-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN05","Adv-Root","Red","Ground_Red","True","False"
"VEG-05-Gnd-SN04-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN04","Leaf","Red","Ground_Red","True","False"
"VEG-05-Gnd-SN06-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN06","Leaf","Red","Ground_Red","True","False"
"VEG-05-Gnd-SN07-Leaf-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN07","Leaf","Blue","Ground_Blue","True","False"
"VEG-05-Gnd-SN08-Leaf-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN08","Leaf","Blue","Ground_Blue","True","False"
"VEG-05-Gnd-SN05-Leaf-Red_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN05","Leaf","Red","Ground_Red","True","False"
"VEG-05-Gnd-SN09-Leaf-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN09","Leaf","Blue","Ground_Blue","True","False"
"VEG-05-Gnd-SN10-Leaf-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN10","Leaf","Blue","Ground_Blue","True","False"
"VEG-05-Gnd-SN11-Leaf-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN11","Leaf","Blue","Ground_Blue","True","False"
"VEG-05-Gnd-SN12-Leaf-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN12","Leaf","Blue","Ground_Blue","True","False"
"VEG-05-Gnd-SN09-Adv-Root-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN09","Adv-Root","Blue","Ground_Blue","True","False"
"VEG-05-Gnd-SN10-Adv-Root-Blue_L008","OSD-767","Solanum lycopersicum","Red Robin","Ground","SN10","Adv-Root","Blue","Ground_Blue","True","False"
